#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Human papillomavirus type 137	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007236	1	-	-	1
Human papillomavirus type 140	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007341	1	-	-	1
Human papillomavirus type 144	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007271	1	-	-	1
Human papillomavirus type 154	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007286	1	-	-	1
Human papillomavirus type 16	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007904	1	-	-	1
Human papillomavirus type 167	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007228	1	-	-	1
Human papillomavirus type 178	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007314	1	-	-	1
Human papillomavirus type 26	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007855	1	-	-	1
Human papillomavirus type 32	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007961	1	-	-	1
Human papillomavirus type 34	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007723	1	-	-	1
Human papillomavirus type 4	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007353	1	-	-	1
Human papillomavirus type 41	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007614	1	-	-	1
Human papillomavirus type 48	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.0071	1	-	-	1
Human papillomavirus type 50	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007184	1	-	-	1
Human papillomavirus type 53	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007856	1	-	-	1
Human papillomavirus type 60	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007313	1	-	-	1
Human papillomavirus type 63	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007348	1	-	-	1
Human papillomavirus type 7	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.008027	1	-	-	1
Human papillomavirus type 88	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007326	1	-	-	1
Human papillomavirus type 90	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.008033	1	-	-	1
Human papillomavirus type 92	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007461	1	-	-	1
Human papillomavirus type 96	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007438	1	-	-	1
Human parainfluenza virus 1	Viruses	ssRNA viruses	Paramyxoviridae	0.308451	20	-	-	2
Human parainfluenza virus 2	Viruses	ssRNA viruses	Paramyxoviridae	0.015646	1	-	-	1
Human parainfluenza virus 3	Viruses	ssRNA viruses	Paramyxoviridae	0.617607	41	-	-	2
Human parainfluenza virus 4	Viruses	ssRNA viruses	Paramyxoviridae	0.017052	1	-	-	1
Human parechovirus	Viruses	ssRNA viruses	Picornaviridae	0.007348	1	-	-	1
Human parvovirus 4	Viruses	ssDNA viruses	Parvoviridae	0.005268	1	-	-	1
Human parvovirus B19	Viruses	ssDNA viruses	Parvoviridae	0.005596	1	-	-	1
Human picobirnavirus	Viruses	dsRNA viruses	Picobirnaviridae	0.00427	2	-	-	1
Human polyomavirus 12	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.005033	1	-	-	1
Human polyomavirus 9	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.005026	1	-	-	1
Human respiratory syncytial virus	Viruses	ssRNA viruses	Paramyxoviridae	1.88843	125	-	-	3
Human rhinovirus B14	Viruses	ssRNA viruses	Picornaviridae	0.007212	1	-	-	1
Human rhinovirus sp.	Viruses	ssRNA viruses	Picornaviridae	0.586352	82	-	-	2
Humibacter albus	Bacteria	Actinobacteria	Actinobacteria	3.69307	-	-	-	1
Humulus japonicus latent virus	Viruses	ssRNA viruses	Bromoviridae	0.00813	3	-	-	1
Hyaloperonospora arabidopsidis	Eukaryota	Protists	Other Protists	78.3805	-	-	-	1
Hydra vulgaris	Eukaryota	Animals	Other Animals	852.171	-	2	-	1
Hydrangea chlorotic mottle virus	Viruses	ssRNA viruses	Betaflexiviridae	0.008433	1	-	-	1
Hydrangea ringspot virus	Viruses	ssRNA viruses	Alphaflexiviridae	0.006185	1	-	-	1
Hydrocarboniphaga effusa	Bacteria	Proteobacteria	Gammaproteobacteria	5.19393	-	-	-	1
Hydrogenivirga	Bacteria	Aquificae	Aquificae	3.03824	-	-	-	1
Hydrogenobacter thermophilus	Bacteria	Aquificae	Aquificae	1.74314	1	-	-	2
Hydrogenobaculum	Bacteria	Aquificae	Aquificae	1.55951	1	-	-	3
Hydrogenophaga	Bacteria	Proteobacteria	Betaproteobacteria	5.14453	-	-	-	2
Hydrogenophaga intermedia	Bacteria	Proteobacteria	Betaproteobacteria	5.28813	-	-	-	1
Hydrogenovibrio marinus	Bacteria	Proteobacteria	Gammaproteobacteria	2.61806	-	-	-	2
Hylemonella gracilis	Bacteria	Proteobacteria	Betaproteobacteria	3.82161	-	-	-	2
Hymenobacter	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.26242	-	-	-	1
Hymenobacter aerophilus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.25304	-	-	-	1
Hymenobacter norwichensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	6.00831	-	-	-	1
Hymenobacter swuensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.25207	1	-	3	1
Hymenolepis microstoma	Eukaryota	Animals	Flatworms	126.774	-	-	-	1
Hyperthermophilic Archaeal Virus 1	Viruses	dsDNA viruses, no RNA stage	unclassified	0.022743	1	-	-	1
Hyperthermophilic Archaeal Virus 2	Viruses	unclassified archaeal viruses	unclassified	0.017666	1	-	-	1
Hyperthermus butylicus	Archaea	Crenarchaeota	Thermoprotei	1.66716	1	-	-	1
Hyphantria cunea nucleopolyhedrovirus	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	0.132959	1	-	-	1
Hyphochytrium catenoides	Eukaryota	Protists	Other Protists	85.1426	-	-	-	1
Hyphomicrobium	Bacteria	Proteobacteria	Alphaproteobacteria	4.75753	1	-	-	2
Hyphomicrobium denitrificans	Bacteria	Proteobacteria	Alphaproteobacteria	3.80869	1	-	-	2
Hyphomicrobium nitrativorans	Bacteria	Proteobacteria	Alphaproteobacteria	3.65384	1	-	-	1
Hyphomicrobium zavarzinii	Bacteria	Proteobacteria	Alphaproteobacteria	4.65179	-	-	-	1
Hyphomonas	Bacteria	Proteobacteria	Alphaproteobacteria	3.89745	-	-	-	6
Hyphomonas adhaerens	Bacteria	Proteobacteria	Alphaproteobacteria	3.66857	-	-	-	1
Hyphomonas hirschiana	Bacteria	Proteobacteria	Alphaproteobacteria	3.69052	-	-	-	1
Hyphomonas jannaschiana	Bacteria	Proteobacteria	Alphaproteobacteria	3.64084	-	-	-	1
Hyphomonas johnsonii	Bacteria	Proteobacteria	Alphaproteobacteria	3.61877	-	-	-	1
Hyphomonas neptunium	Bacteria	Proteobacteria	Alphaproteobacteria	3.70502	1	-	-	1
Hyphomonas oceanitis	Bacteria	Proteobacteria	Alphaproteobacteria	4.28017	-	-	-	1
Hyphomonas polymorpha	Bacteria	Proteobacteria	Alphaproteobacteria	4.05096	-	-	-	1
Hypocrella siamensis	Eukaryota	Fungi	Ascomycetes	28.8565	-	-	-	1
Hyposoter fugitivus ichnovirus	Viruses	dsDNA viruses, no RNA stage	Polydnaviridae	0.246092	56	-	-	1
Hysterium pulicare	Eukaryota	Fungi	Ascomycetes	38.2497	-	-	-	1
Ichthyophthirius multifiliis	Eukaryota	Protists	Other Protists	48.8	1	1	-	1
Ictalurid herpesvirus 1	Viruses	dsDNA viruses, no RNA stage	Alloherpesviridae	0.134226	1	-	-	1
Ictidomys tridecemlineatus	Eukaryota	Animals	Mammals	2478.39	-	-	-	2
Ideonella sp.	Bacteria	Proteobacteria	Betaproteobacteria	4.93675	-	-	-	1
Idiomarina	Bacteria	Proteobacteria	Gammaproteobacteria	2.97414	-	-	-	2
Idiomarina baltica	Bacteria	Proteobacteria	Gammaproteobacteria	2.77027	-	-	-	1
Idiomarina loihiensis	Bacteria	Proteobacteria	Gammaproteobacteria	2.83976	1	-	-	2
Idiomarina sediminum	Bacteria	Proteobacteria	Gammaproteobacteria	2.62447	-	-	-	1
Idiomarina xiamenensis	Bacteria	Proteobacteria	Gammaproteobacteria	2.89928	-	-	-	1
Ignatzschineria larvae	Bacteria	Proteobacteria	Gammaproteobacteria	2.4598	-	-	-	1
Ignavibacterium album	Bacteria	Bacteroidetes/Chlorobi group	Ignavibacteriae	3.659	1	-	-	1
Ignicoccus hospitalis	Archaea	Crenarchaeota	Thermoprotei	1.29754	1	-	-	1
Ignisphaera aggregans	Archaea	Crenarchaeota	Thermoprotei	1.87595	1	-	-	1
Ikoma lyssavirus	Viruses	ssRNA viruses	Rhabdoviridae	0.011902	1	-	-	1
Ilheus virus	Viruses	ssRNA viruses	Flaviviridae	0.010755	1	-	-	1
Ilumatobacter coccineus	Bacteria	Actinobacteria	Actinobacteria	4.83018	1	-	-	1
Ilumatobacter nonamiensis	Bacteria	Actinobacteria	Actinobacteria	4.28223	-	-	-	1
Ilyobacter polytropus	Bacteria	Fusobacteria	Fusobacteriia	3.13231	1	-	2	1
Impatiens necrotic spot virus	Viruses	ssRNA viruses	Bunyaviridae	0.01674	3	-	-	1
Imperata yellow mottle virus	Viruses	ssRNA viruses	unclassified	0.004547	1	-	-	1
Imtechella halotolerans	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.08695	-	-	-	1
Indian cassava mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.00546	2	-	-	1
Indian citrus ringspot virus	Viruses	ssRNA viruses	Alphaflexiviridae	0.00756	1	-	-	1
Indian peanut clump virus	Viruses	ssRNA viruses	Virgaviridae	0.010348	2	-	-	1
Indibacter alkaliphilus	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.03605	-	-	-	1
Infectious bursal disease virus	Viruses	dsRNA viruses	Birnaviridae	0.005898	2	-	-	1
Infectious flacherie virus	Viruses	ssRNA viruses	Iflaviridae	0.00965	1	-	-	1
Infectious hematopoietic necrosis virus	Viruses	ssRNA viruses	Rhabdoviridae	0.011131	1	-	-	1
Infectious pancreatic necrosis virus	Viruses	dsRNA viruses	Birnaviridae	0.005881	2	-	-	1
Infectious salmon anemia virus	Viruses	ssRNA viruses	Orthomyxoviridae	0.012716	8	-	-	1
Infectious spleen and kidney necrosis virus	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	0.111362	1	-	-	1
Influenza A virus	Viruses	ssRNA viruses	Orthomyxoviridae	0.013627	8	-	-	5
Influenza B virus	Viruses	ssRNA viruses	Orthomyxoviridae	0.014452	8	-	-	1
Influenza C virus (C/Ann Arbor/1/50)	Viruses	ssRNA viruses	Orthomyxoviridae	0.012906	7	-	-	1
Inquilinus limosus	Bacteria	Proteobacteria	Alphaproteobacteria	7.41371	-	-	-	1
Intrasporangiaceae bacterium JGI 0001002-M5	Bacteria	Actinobacteria	Actinobacteria	0.097739	-	-	-	1
Intrasporangiaceae bacterium URHB0013	Bacteria	Actinobacteria	Actinobacteria	4.56771	-	-	-	1
Intrasporangium calvum	Bacteria	Actinobacteria	Actinobacteria	4.02438	1	-	-	1
Intrasporangium chromatireducens	Bacteria	Actinobacteria	Actinobacteria	4.80425	-	-	-	1
Intrasporangium oryzae	Bacteria	Actinobacteria	Actinobacteria	4.63653	-	-	-	1
Invertebrate iridescent virus 22	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	0.197693	1	-	-	2
Invertebrate iridescent virus 3	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	0.1911	1	-	-	1
Invertebrate iridescent virus 30	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	0.198533	1	-	-	1
Invertebrate iridescent virus 6	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	0.212482	1	-	-	1
Invertebrate iridovirus 25	Viruses	dsDNA viruses, no RNA stage	Iridoviridae	0.204815	1	-	-	1
Iodobacteriophage phiPLPE	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.047453	1	-	-	1
Iotapapillomavirus 1	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007687	1	-	-	1
Ipomoea begomovirus satellite DNA beta	Viruses	Satellites	unclassified	0.000662	1	-	-	1
Ipomoea yellow vein virus	Viruses	ssDNA viruses	Geminiviridae	0.002791	1	-	-	1
Ippy virus	Viruses	ssRNA viruses	Arenaviridae	0.010682	2	-	-	1
Iresine viroid 1	Viroids	Pospiviroidae	Pospiviroid	0.00037	1	-	-	1
Irkut virus	Viruses	ssRNA viruses	Rhabdoviridae	0.01198	1	-	-	1
Isfahan virus	Viruses	ssRNA viruses	Rhabdoviridae	0.011088	1	-	-	1
Isoptericola variabilis	Bacteria	Actinobacteria	Actinobacteria	3.30774	1	-	-	1
Isosphaera pallida	Bacteria	Planctomycetes	Planctomycetia	5.5293	1	-	1	1
Israeli acute paralysis virus	Viruses	ssRNA viruses	Dicistroviridae	0.009499	1	-	-	1
Italian clover phyllody phytoplasma	Bacteria	Tenericutes	Mollicutes	0.597245	-	-	-	1
Ixodes scapularis	Eukaryota	Animals	Other Animals	1765.38	-	-	-	1
J-virus	Viruses	ssRNA viruses	Paramyxoviridae	0.018954	1	-	-	1
JC polyomavirus	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.00513	1	-	-	1
Jaagsiekte sheep retrovirus	Viruses	Retro-transcribing viruses	Retroviridae	0.007462	1	-	-	1
Jaapia argillacea	Eukaryota	Fungi	Basidiomycetes	45.0459	-	-	-	1
Jaculus jaculus	Eukaryota	Animals	Mammals	2835.25	-	1	-	1
Janibacter	Bacteria	Actinobacteria	Actinobacteria	4.23507	-	-	-	1
Janibacter hoylei	Bacteria	Actinobacteria	Actinobacteria	3.1391	-	-	-	1
Jannaschia	Bacteria	Proteobacteria	Alphaproteobacteria	4.40405	1	-	1	1
Janthinobacterium	Bacteria	Proteobacteria	Betaproteobacteria	7.11467	1	-	-	3
Janthinobacterium agaricidamnosum	Bacteria	Proteobacteria	Betaproteobacteria	5.949	1	-	-	1
Janthinobacterium lividum	Bacteria	Proteobacteria	Betaproteobacteria	6.21274	-	-	-	2
Japanese eel endothelial cells-infecting virus	Viruses	dsDNA viruses, no RNA stage	unclassified	0.015131	1	-	-	1
Japanese encephalitis virus	Viruses	ssRNA viruses	Flaviviridae	0.010976	1	-	-	1
Japanese holly fern mottle virus	Viruses	dsRNA viruses	unclassified	0.009235	2	-	-	1
Japanese iris necrotic ring virus	Viruses	ssRNA viruses	Tombusviridae	0.004014	1	-	-	1
Japanese yam mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.00976	1	-	-	1
Jatropha curcas	Eukaryota	Plants	Land Plants	318.363	-	1	-	2
Jatropha leaf curl virus	Viruses	ssDNA viruses	Geminiviridae	0.002743	1	-	-	1
Jatropha mosaic Nigerian virus	Viruses	ssDNA viruses	Geminiviridae	0.002781	1	-	-	1
Jatropha mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005198	2	-	-	1
Jatropha yellow mosaic India virus	Viruses	ssDNA viruses	Geminiviridae	0.002757	1	-	-	1
Jeotgalicoccus marinus	Bacteria	Firmicutes	Bacilli	2.10982	-	-	-	1
Jeotgalicoccus psychrophilus	Bacteria	Firmicutes	Bacilli	2.34568	-	-	-	1
Jiangella gansuensis	Bacteria	Actinobacteria	Actinobacteria	5.58578	-	-	-	1
Johnsonella ignava	Bacteria	Firmicutes	Clostridia	2.68708	-	-	-	1
Johnsongrass chlorotic stripe mosaic virus	Viruses	ssRNA viruses	Tombusviridae	0.004421	1	-	-	1
Johnsongrass mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009779	1	-	-	1
Jonesia denitrificans	Bacteria	Actinobacteria	Actinobacteria	2.74965	1	-	-	1
Jonesia quinghaiensis	Bacteria	Actinobacteria	Actinobacteria	3.03813	-	-	-	1
Jonquetella	Bacteria	Synergistetes	Synergistia	1.65427	-	-	-	1
Jonquetella anthropi	Bacteria	Synergistetes	Synergistia	1.79006	1	-	-	2
Joostella marina	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	4.50824	-	-	-	1
Junin virus	Viruses	ssRNA viruses	Arenaviridae	0.010525	2	-	-	1
Junonia coenia densovirus	Viruses	ssDNA viruses	Parvoviridae	0.005908	1	-	-	1
KI polyomavirus	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.00504	1	-	-	1
Kadipiro virus	Viruses	dsRNA viruses	Reoviridae	0.020985	12	-	-	1
Kaistia adipata	Bacteria	Proteobacteria	Alphaproteobacteria	4.8392	-	-	-	1
Kaistia granuli	Bacteria	Proteobacteria	Alphaproteobacteria	4.76611	-	-	-	1
Kakugo virus	Viruses	ssRNA viruses	Iflaviridae	0.010152	1	-	-	1
Kalanchoe latent virus	Viruses	ssRNA viruses	Betaflexiviridae	0.008517	1	-	-	1
Kalanchoe top-spotting virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.007591	1	-	-	1
Kama virus	Viruses	ssRNA viruses	Flaviviridae	0.010688	1	-	-	1
Kamiti River virus	Viruses	ssRNA viruses	Flaviviridae	0.011375	1	-	-	1
Kamptonema	Bacteria	Cyanobacteria	Oscillatoriophycideae	6.67671	-	-	-	1
Kandleria vitulina	Bacteria	Firmicutes	Erysipelotrichia	2.12671	-	-	-	3
Kangiella aquimarina	Bacteria	Proteobacteria	Gammaproteobacteria	2.6818	-	-	-	1
Kangiella koreensis	Bacteria	Proteobacteria	Gammaproteobacteria	2.85207	1	-	-	1
Kappapapillomavirus 1	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007565	1	-	-	1
Kappapapillomavirus 2	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007868	1	-	-	1
Karshi virus	Viruses	ssRNA viruses	Flaviviridae	0.010653	1	-	-	1
Kashmir bee virus	Viruses	ssRNA viruses	Dicistroviridae	0.009524	1	-	-	1
Kazachstania africana	Eukaryota	Fungi	Ascomycetes	11.1301	12	-	-	1
Kazachstania naganishii	Eukaryota	Fungi	Ascomycetes	10.8458	13	-	-	1
Kedougou virus	Viruses	ssRNA viruses	Flaviviridae	0.010723	1	-	-	1
Kelp fly virus	Viruses	ssRNA viruses	unclassified	0.011034	1	-	-	1
Kenaf leaf curl virus-[India:Bahraich:2007]	Viruses	ssDNA viruses	Geminiviridae	0.00274	1	-	-	1
Kennedya yellow mosaic virus	Viruses	ssRNA viruses	Tymoviridae	0.006362	1	-	-	1
Ketogulonicigenium vulgare	Bacteria	Proteobacteria	Alphaproteobacteria	3.2884	1	-	2	2
Keunjorong mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009626	1	-	-	1
Kibdelosporangium aridum	Bacteria	Actinobacteria	Actinobacteria	12.9936	-	-	-	1
Kiloniella laminariae	Bacteria	Proteobacteria	Alphaproteobacteria	4.43894	-	-	-	1
Kineococcus radiotolerans	Bacteria	Actinobacteria	Actinobacteria	4.95667	1	-	2	1
Kineosphaera limosa	Bacteria	Actinobacteria	Actinobacteria	4.84724	-	-	-	1
Kineosporia aurantiaca	Bacteria	Actinobacteria	Actinobacteria	9.02174	-	-	-	1
Kinetoplastibacterium blastocrithidii	Bacteria	Proteobacteria	Betaproteobacteria	0.820037	1	-	-	2
Kingella denitrificans	Bacteria	Proteobacteria	Betaproteobacteria	2.22045	-	-	-	1
Kingella kingae	Bacteria	Proteobacteria	Betaproteobacteria	2.09755	-	-	-	43
Kingella oralis	Bacteria	Proteobacteria	Betaproteobacteria	2.40667	-	-	-	1
Kitasatospora	Bacteria	Actinobacteria	Actinobacteria	10.3874	-	-	-	3
Kitasatospora arboriphila	Bacteria	Actinobacteria	Actinobacteria	5.74804	-	-	-	1
Kitasatospora cheerisanensis	Bacteria	Actinobacteria	Actinobacteria	8.17427	-	-	-	1
Kitasatospora phosalacinea	Bacteria	Actinobacteria	Actinobacteria	8.61695	-	-	-	2
Kitasatospora setae	Bacteria	Actinobacteria	Actinobacteria	8.78328	1	-	-	2
Klebsiella	Bacteria	Proteobacteria	Gammaproteobacteria	6.34331	-	-	1	10
Klebsiella cf. planticola B43	Bacteria	Proteobacteria	Gammaproteobacteria	4.47933	-	-	-	1
Klebsiella oxytoca	Bacteria	Proteobacteria	Gammaproteobacteria	6.6849	1	-	4	22
Klebsiella phage 0507-KN2-1	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.159991	1	-	-	1
Klebsiella phage F19	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.043766	1	-	-	1
Klebsiella phage JD001	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.048814	1	-	-	1
Klebsiella phage K11	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.041181	1	-	-	1
Klebsiella phage KP15	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.174436	1	-	-	1
Klebsiella phage KP27	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.174413	1	-	-	1
Klebsiella phage KP32	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.041119	1	-	-	1
Klebsiella phage KP34	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.043809	1	-	-	1
Klebsiella phage KP36	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.049818	1	-	-	1
Klebsiella phage phiKO2	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.051601	1	-	-	1
Klebsiella pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	10.4528	1	-	99	380
Klebsiella variicola	Bacteria	Proteobacteria	Gammaproteobacteria	5.4585	1	-	-	1
Klebsormidium flaccidum	Eukaryota	Plants	Other Plants	104.21	-	2	-	1
Kluyvera phage Kvp1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.039472	1	-	-	1
Kluyveromyces aestuarii	Eukaryota	Fungi	Ascomycetes	9.91011	-	-	-	1
Kluyveromyces lactis	Eukaryota	Fungi	Ascomycetes	10.7294	6	1	2	1
Kluyveromyces marxianus	Eukaryota	Fungi	Ascomycetes	10.9268	-	-	-	1
Kluyveromyces wickerhamii	Eukaryota	Fungi	Ascomycetes	9.80774	-	-	-	1
Koala retrovirus	Viruses	Retro-transcribing viruses	Retroviridae	0.008566	1	-	-	1
Kocuria atrinae	Bacteria	Actinobacteria	Actinobacteria	3.19717	-	-	-	1
Kocuria palustris	Bacteria	Actinobacteria	Actinobacteria	2.87211	-	-	-	1
Kocuria rhizophila	Bacteria	Actinobacteria	Actinobacteria	2.82033	1	-	-	2
Kocuria sp.	Bacteria	Actinobacteria	Actinobacteria	3.79149	-	-	-	1
Kokobera virus	Viruses	ssRNA viruses	Flaviviridae	0.010874	1	-	-	1
Komagataeibacter kakiaceti	Bacteria	Proteobacteria	Alphaproteobacteria	3.1331	-	-	-	1
Komagataeibacter medellinensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.51319	1	-	7	1
Komagataeibacter rhaeticus	Bacteria	Proteobacteria	Alphaproteobacteria	3.93914	-	-	-	1
Komagataella pastoris	Eukaryota	Fungi	Ascomycetes	9.40545	4	1	-	3
Konjac mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009544	1	-	-	1
Kordia algicida	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	5.03313	-	-	-	1
Kordiimonas gwangyangensis	Bacteria	Proteobacteria	Alphaproteobacteria	4.08225	-	-	-	2
Kosakonia radicincitans	Bacteria	Proteobacteria	Gammaproteobacteria	6.06345	-	-	-	2
Kosmotoga olearia	Bacteria	Thermotogae	Thermotogae	2.30213	1	-	-	1
Kotonkan virus	Viruses	ssRNA viruses	Rhabdoviridae	0.015867	1	-	-	1
Kozakia baliensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.17252	-	-	-	1
Kribbella catacumbae	Bacteria	Actinobacteria	Actinobacteria	9.62781	-	-	-	1
Kribbella flavida	Bacteria	Actinobacteria	Actinobacteria	7.57949	1	-	-	1
Ktedonobacter racemifer	Bacteria	Chloroflexi	Ktedonobacteria	13.6616	-	-	-	1
Kudzu mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005403	2	-	-	1
Kuraishia capsulata	Eukaryota	Fungi	Ascomycetes	11.3712	-	-	-	1
Kurthia	Bacteria	Firmicutes	Bacilli	2.98677	-	-	-	2
Kurthia huakuii	Bacteria	Firmicutes	Bacilli	3.54892	-	-	-	1
Kurthia massiliensis	Bacteria	Firmicutes	Bacilli	3.23082	-	-	-	1
Kushneria aurantia	Bacteria	Proteobacteria	Gammaproteobacteria	3.75069	-	-	-	1
Kutzneria	Bacteria	Actinobacteria	Actinobacteria	11.6465	-	-	-	1
Kutzneria albida	Bacteria	Actinobacteria	Actinobacteria	9.87493	1	-	-	2
Kwoniella heveanensis	Eukaryota	Fungi	Basidiomycetes	25.4694	-	-	-	2
Kwoniella mangrovensis	Eukaryota	Fungi	Basidiomycetes	22.8727	-	-	-	3
Kyrpidia tusciae	Bacteria	Firmicutes	Bacilli	3.38477	1	-	-	1
Kytococcus sedentarius	Bacteria	Actinobacteria	Actinobacteria	2.78502	1	-	-	1
Kyuri green mottle mosaic virus	Viruses	ssRNA viruses	Virgaviridae	0.006514	1	-	-	1
La Crosse virus	Viruses	ssRNA viruses	Bunyaviridae	0.012491	3	-	-	1
Labeotropheus fuelleborni	Eukaryota	Animals	Fishes	70.8584	-	-	-	1
Labidocera aestiva circovirus	Viruses	ssDNA viruses	Circoviridae	0.001764	1	-	-	1
Labrenzia	Bacteria	Proteobacteria	Alphaproteobacteria	7.6297	-	-	-	3
Labrenzia aggregata	Bacteria	Proteobacteria	Alphaproteobacteria	6.56139	-	-	-	1
Labrenzia alexandrii	Bacteria	Proteobacteria	Alphaproteobacteria	5.50483	-	-	-	1
Laccaria bicolor	Eukaryota	Fungi	Basidiomycetes	64.8774	-	-	-	1
Laceyella sacchari	Bacteria	Firmicutes	Bacilli	3.32432	-	-	-	1
Lachancea kluyveri	Eukaryota	Fungi	Ascomycetes	11.5091	8	1	-	1
Lachancea thermotolerans	Eukaryota	Fungi	Ascomycetes	10.3929	8	1	-	1
Lachancea waltii	Eukaryota	Fungi	Ascomycetes	10.9121	-	-	1	1
Lachnoanaerobaculum saburreum	Bacteria	Firmicutes	Clostridia	3.0824	-	-	-	2
Lachnoanaerobaculum sp.	Bacteria	Firmicutes	Clostridia	2.93212	-	-	-	1
Lachnobacterium bovis	Bacteria	Firmicutes	Clostridia	2.84445	-	-	-	3
Lachnospira multipara	Bacteria	Firmicutes	Clostridia	2.87186	-	-	-	3
Lachnospiraceae bacterium 10-1	Bacteria	Firmicutes	Clostridia	4.57165	-	-	-	1
Lachnospiraceae bacterium 1_1_57FAA	Bacteria	Firmicutes	Clostridia	2.93002	-	-	-	1
Lachnospiraceae bacterium 1_4_56FAA	Bacteria	Firmicutes	Clostridia	3.2339	-	-	-	1
Lachnospiraceae bacterium 28-4	Bacteria	Firmicutes	Clostridia	4.28353	-	-	-	1
Lachnospiraceae bacterium 2_1_46FAA	Bacteria	Firmicutes	Clostridia	2.21903	-	-	-	1
Lachnospiraceae bacterium 2_1_58FAA	Bacteria	Firmicutes	Clostridia	3.46075	-	-	-	1
Lachnospiraceae bacterium 3-1	Bacteria	Firmicutes	Clostridia	5.08316	-	-	-	1
Lachnospiraceae bacterium 3-2	Bacteria	Firmicutes	Clostridia	4.45562	-	-	-	1
Lachnospiraceae bacterium 3_1_46FAA	Bacteria	Firmicutes	Clostridia	3.11822	-	-	-	1
